[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
[[(('EU', 'NNP'), 'O'), (('rejects', 'VBZ'), 'O'), (('German', 'JJ'), 'B-PER'), (('call', 'NN'), 'O'), (('to', 'TO'), 'O'), (('boycott', 'VB'), 'O'), (('British', 'JJ'), 'B-PER'), (('lamb', 'NN'), 'O')]]
